Vertices: 122  Edges: 360  Facets: 240  Bodies: 0  Facetedges: 720
Element memory: 107 KB, or 0 MB
Total data memory: 943 KB, or 0 MB.
Vertices: 482  Edges: 1440  Facets: 960  Bodies: 0  Facetedges: 2880
Element memory: 427 KB, or 0 MB
Total data memory: 1034 KB, or 1 MB.
  0.705123,-0.311407,-0.637046
  0.688737,-0.155148,-0.708216
  0.348164, 0.888979,-0.297486
  0.407637, 0.792749,-0.453189
  0.251035, 0.863365,-0.437702
  0.311407, 0.637046,-0.705123
  0.155703, 0.577572,-0.801353
  0.155148, 0.708216,-0.688737
 -0.155703, 0.577572,-0.801353
 -0.311407, 0.637046,-0.705123
 -0.155148, 0.708216,-0.688737
 -0.407637, 0.792749,-0.453189
 -0.348164, 0.888979,-0.297486
 -0.251035, 0.863365,-0.437702
  0.155703, 0.577572, 0.801353
  0.311407, 0.637046, 0.705123
  0.155148, 0.708216, 0.688737
  0.407637, 0.792749, 0.453189
  0.348164, 0.888979, 0.297486
  0.251035, 0.863365, 0.437702
  0.096230, 0.985209, 0.141782
 -0.096230, 0.985209, 0.141782
  0.000000, 0.959251, 0.282554
 -0.348164, 0.888979, 0.297486
 -0.407637, 0.792749, 0.453189
 -0.251035, 0.863365, 0.437702
 -0.637046, 0.705123, 0.311407
 -0.577572, 0.801353, 0.155703
 -0.708216, 0.688737, 0.155148
 -0.577572, 0.801353,-0.155703
 -0.637046, 0.705123,-0.311407
 -0.708216, 0.688737,-0.155148
 -0.297486, 0.348164, 0.888979
 -0.453189, 0.407637, 0.792749
 -0.437702, 0.251035, 0.863365
